Date,Current Ratio,Quick Ratio,Current Assets,Long-term debt to equity ratio,Share Holder Equity,Debt to Equity Ratio,Percentage of net profit to sale,Percentage of operating profit to sale,Percentage of Gross profit to sale,ROA,ROE,EPS,P/E,P/S,Stock book value,Stock Price,ROI,MarketReturn,Company,RealReturn,Risk,RealReturnClass,RiskClass
2015-12-31,3.0,2.93,127812,40679.0,76780,0.5298,0.1329,0.1857,0.64,0.0665,0.1444,0.62,39.91,4.68,5.29,50.28,0.1459,2043.93994140625,MSFT,0.3005,0.7778,,
2015-09-30,2.46,2.39,121656,27819.0,77445,0.3592,0.1383,0.1995,0.6477,0.0719,0.1479,0.61,35.83,4.64,5.18,50.16,0.1642,1920.030029296875,MSFT,0.3341,1.294,,
2015-06-30,2.47,2.42,122797,27808.0,80083,0.3472,0.1303,0.1941,0.647,0.0701,0.1385,-0.38,26.64,3.6,4.09,39.69,0.1634,2063.110107421875,MSFT,0.3544,0.0566,,
2015-03-31,2.91,2.85,118398,27644.0,90132,0.3067,0.211,0.2817,0.6497,0.1153,0.221,0.61,26.98,3.49,3.95,39.39,0.2389,2067.889892578125,MSFT,0.4413,5.3387,,
2014-12-31,2.45,2.41,116362,18260.0,91879,0.1987,0.2212,0.2897,0.6574,0.1229,0.2302,0.71,14.95,3.16,3.24,36.03,0.2477,2058.89990234375,MSFT,0.5458,0.6223,,
2014-09-30,2.52,2.45,112439,18472.0,90170,0.2049,0.2335,0.298,0.6699,0.1312,0.2425,0.54,16.48,3.65,3.66,40.88,0.2519,1972.2900390625,MSFT,0.562,0.297,,
2014-06-30,2.5,2.45,114246,20645.0,89784,0.2299,0.2542,0.3197,0.6882,0.1414,0.2567,0.55,15.9,3.71,3.71,40.54,0.2653,1960.22998046875,MSFT,0.584,0.9475,,
2014-03-31,3.22,3.16,109006,20679.0,87424,0.2365,0.2691,0.3281,0.6979,0.1509,0.2693,0.68,13.78,3.51,3.33,36.24,0.2737,1872.3399658203125,MSFT,0.6116,0.594,,
2013-12-31,3.17,3.12,106870,20676.0,85100,0.243,0.2735,0.3355,0.7124,0.1595,0.2832,0.78,13.25,3.57,3.34,35.38,0.2944,1848.3599853515625,MSFT,0.6487,1.4637,,
2013-09-30,2.87,2.8,99450,12632.0,81641,0.1547,0.2817,0.3458,0.7342,0.1654,0.2923,0.62,11.83,3.24,3.13,32.05,0.3097,1681.550048828125,MSFT,0.6953,1.0819,,
2013-06-30,2.71,2.66,101466,12601.0,78944,0.1596,0.2808,0.3438,0.7381,0.1659,0.2944,0.57,10.52,2.97,2.89,28.3,0.3119,1606.280029296875,MSFT,0.7182,0.1556,,
2013-03-31,2.93,2.86,93524,11949.0,76688,0.1558,0.2158,0.2747,0.7525,0.1297,0.2307,0.72,11.22,3.17,3.08,29.16,0.2541,1569.18994140625,MSFT,0.6453,4.0871,,
2012-12-31,2.81,2.76,89574,11947.0,72576,0.1646,0.212,0.2694,0.7535,0.1262,0.2237,0.76,12.3,2.67,2.61,23.98,0.245,1426.18994140625,MSFT,0.5614,0.6435,,
2012-09-30,2.68,2.63,84051,9714.0,68836,0.1411,0.2171,0.2746,0.7523,0.1327,0.2344,0.53,12.14,2.58,2.56,22.21,0.2545,1440.6700439453125,MSFT,0.5619,0.6718,,
2012-06-30,2.6,2.57,85084,10713.0,66363,0.1614,0.2303,0.2952,0.7622,0.148,0.2627,-0.06,13.27,2.88,3.0,24.54,0.2854,1362.1600341796875,MSFT,0.6125,2.185,,
2012-03-31,2.94,2.88,76860,11938.0,68659,0.1739,0.3196,0.3799,0.7662,0.2092,0.3746,0.6,12.53,2.89,3.16,25.06,0.3737,1408.469970703125,MSFT,0.7658,6.2438,,
2011-12-31,2.86,2.81,72513,11932.0,64121,0.1861,0.3257,0.3758,0.7638,0.2193,0.4011,0.78,9.55,3.06,3.21,26.25,0.3844,1257.5999755859375,MSFT,0.9018,0.7566,,
2011-09-30,2.95,2.86,75271,11927.0,59391,0.2008,0.3301,0.3831,0.772,0.2301,0.43,0.68,7.6,2.48,2.74,20.99,0.4131,1131.4200439453125,MSFT,0.9563,2.0294,,
2011-06-30,2.6,2.56,74918,11921.0,57083,0.2088,0.331,0.3883,0.7773,0.2361,0.4496,0.69,7.26,2.4,2.83,19.97,0.4361,1320.6400146484375,MSFT,1.0294,1.6263,,
2011-03-31,2.76,2.71,66263,11915.0,53452,0.2229,0.3176,0.3923,0.7808,0.2358,0.4469,0.61,7.71,2.55,3.04,20.73,0.4657,1325.8299560546875,MSFT,1.1049,2.093,,
2010-12-31,2.46,2.42,59684,9671.0,48481,0.1995,0.3084,0.3956,0.7916,0.2318,0.4392,0.77,8.01,2.54,3.17,20.12,0.4901,1257.6400146484375,MSFT,1.184,1.7253,,
2010-09-30,2.3,2.26,59581,9665.0,46942,0.2059,0.3132,0.4065,0.807,0.239,0.4499,0.62,9.35,2.88,3.81,21.98,0.5211,1141.199951171875,MSFT,1.2666,2.192,,
2010-06-30,2.13,2.1,55676,4939.0,46175,0.107,0.3002,0.3857,0.8016,0.2242,0.423,0.51,8.26,2.58,3.5,19.17,0.498,1030.7099609375,MSFT,1.2786,1.6334,,
2010-03-31,2.06,2.04,54518,3746.0,45710,0.082,0.2903,0.3721,0.8016,0.2118,0.4049,0.45,8.53,2.56,3.36,17.92,0.4771,1169.4300537109375,MSFT,1.2127,1.4779,,
2009-12-31,2.04,2.02,52487,3746.0,44283,0.0846,0.277,0.365,0.7977,0.2095,0.4014,0.74,11.76,3.41,4.35,22.7,0.6287,1115.0999755859375,MSFT,1.4058,10.7197,,
2021-12-31,1.14,0.91,161580,48744.0,138245,0.3526,0.071,0.053,0.4203,0.0898,0.2798,1.39,78.69,3.5,12.38,163.0,0.1513,4766.18017578125,AMZN,0.28,2.7931,,
2021-09-30,1.12,0.87,138531,50055.0,120564,0.4152,0.0573,0.0618,0.4131,0.0757,0.2431,0.31,51.47,3.65,12.28,166.72,0.1898,4307.5400390625,AMZN,0.3698,2.7224,,
2021-06-30,1.2,0.99,140848,50279.0,114803,0.438,0.0664,0.0668,0.4068,0.0915,0.2986,0.76,64.26,3.68,13.81,164.25,0.219,4297.5,AMZN,0.4504,2.0648,,
2021-03-31,1.05,0.85,121408,31868.0,103320,0.3084,0.0642,0.0663,0.4001,0.0908,0.3047,0.79,59.96,3.97,15.16,172.01,0.23,3972.889892578125,AMZN,0.4994,0.7778,,
2020-12-31,1.05,0.86,132733,31816.0,93404,0.3406,0.0553,0.0593,0.3957,0.0788,0.2707,0.71,58.88,3.77,15.09,154.7,0.2098,3756.070068359375,AMZN,0.4881,1.4284,,
2020-09-30,1.11,0.88,112969,32929.0,82775,0.3978,0.0499,0.0572,0.4022,0.0704,0.2449,0.62,77.97,4.3,17.54,162.85,0.2007,3363.0,AMZN,0.4526,0.6435,,
2020-06-30,1.18,0.97,110908,33128.0,73728,0.4493,0.041,0.0524,0.4027,0.0583,0.2047,0.52,92.2,4.6,19.1,157.44,0.1874,3100.2900390625,AMZN,0.4257,0.9405,,
2020-03-31,1.08,0.84,85985,23437.0,65272,0.3591,0.0356,0.0476,0.4064,0.0505,0.1783,0.25,106.07,4.34,18.75,137.94,0.1713,2584.590087890625,AMZN,0.3908,1.1384,,
2019-12-31,1.1,0.86,96334,23414.0,62060,0.3773,0.0413,0.0518,0.4099,0.0584,0.2107,0.32,93.15,3.32,14.91,97.49,0.1861,3230.780029296875,AMZN,0.3893,1.0465,,
2019-09-30,1.1,0.84,79054,22472.0,56508,0.3977,0.0427,0.0544,0.4111,0.0621,0.2252,0.21,80.31,3.32,14.83,92.39,0.1965,2976.739990234375,AMZN,0.4192,0.7354,,
2019-06-30,1.1,0.84,76790,23329.0,53061,0.4397,0.048,0.0596,0.4127,0.0716,0.2627,0.26,76.88,3.28,15.21,86.8,0.2153,2941.760009765625,AMZN,0.4541,1.3294,,
2019-03-31,1.09,0.83,69431,23322.0,48410,0.4818,0.0497,0.0617,0.4107,0.0776,0.2891,0.36,78.57,3.77,17.63,94.68,0.2275,2834.39990234375,AMZN,0.4918,0.8627,,
2018-12-31,1.1,0.85,75101,23495.0,43549,0.5395,0.0433,0.0533,0.4025,0.0711,0.2702,0.3,74.35,3.69,18.1,89.04,0.2015,2506.85009765625,AMZN,0.4748,1.8385,,
2018-09-30,1.08,0.8,59885,24684.0,39125,0.6309,0.0403,0.0487,0.3987,0.0665,0.2671,0.29,74.61,3.22,16.93,75.1,0.1855,2913.97998046875,AMZN,0.4244,1.1314,,
2018-06-30,1.07,0.78,54481,24638.0,34995,0.704,0.0302,0.0355,0.3878,0.0495,0.2112,0.25,112.28,4.51,25.03,100.15,0.1357,2718.3701171875,AMZN,0.3464,3.5214,,
2018-03-31,1.06,0.77,50829,24640.0,31463,0.7831,0.0204,0.026,0.3777,0.0342,0.1472,0.16,134.8,4.05,23.65,84.99,0.1065,2640.8701171875,AMZN,0.2567,2.0648,,
2017-12-31,1.04,0.76,60197,24743.0,27709,0.893,0.0171,0.0231,0.3707,0.0292,0.1247,0.19,182.28,3.7,22.31,72.37,0.1013,2673.610107421875,AMZN,0.2186,0.3677,,
2017-09-30,1.03,0.74,48578,24710.0,24658,1.0021,0.012,0.0201,0.3646,0.021,0.0867,0.03,190.16,3.24,20.43,58.47,0.0947,2519.360107421875,AMZN,0.2056,0.4667,,
2017-06-30,1.01,0.73,41007,7683.0,23214,0.331,0.0128,0.0231,0.3598,0.0238,0.0938,0.02,244.0,2.92,18.79,48.07,0.1223,2423.409912109375,AMZN,0.2286,1.9516,,
2017-03-31,1.06,0.77,39460,7691.0,21674,0.3548,0.0181,0.0289,0.3558,0.0344,0.1372,0.07,245.69,3.14,20.02,48.4,0.1539,2362.719970703125,AMZN,0.295,2.2345,,
2016-12-31,1.05,0.78,45781,7694.0,19285,0.399,0.0174,0.0308,0.3509,0.0338,0.1387,0.08,166.64,3.02,19.55,44.33,0.1663,2238.830078125,AMZN,0.3458,0.8768,,
2016-09-30,1.06,0.74,35609,8205.0,17782,0.4614,0.0164,0.0316,0.3465,0.0321,0.1347,0.03,152.72,2.67,18.55,37.49,0.1695,2168.27001953125,AMZN,0.364,0.2263,,
2016-06-30,1.09,0.77,32220,8212.0,16538,0.4966,0.016,0.0321,0.344,0.0312,0.1353,0.09,191.6,3.15,22.37,41.87,0.172,2098.860107421875,AMZN,0.3707,0.1768,,
2016-03-31,1.08,0.74,30513,8219.0,14756,0.557,0.0103,0.0269,0.3376,0.0199,0.0891,0.05,178.01,2.85,20.51,35.78,0.143,2059.739990234375,AMZN,0.3396,2.0506,,
2015-12-31,1.05,0.75,35705,8227.0,13384,0.6147,0.0056,0.0209,0.3304,0.0107,0.0492,0.05,244.3,2.5,18.99,29.68,0.1097,2043.93994140625,AMZN,0.2684,2.3547,,
