Date,Current Ratio,Quick Ratio,Current Assets,Long-term debt to equity ratio,Share Holder Equity,Debt to Equity Ratio,Percentage of net profit to sale,Percentage of operating profit to sale,Percentage of Gross profit to sale,ROA,ROE,EPS,P/E,P/S,Stock book value,Stock Price,ROI,MarketReturn,Company,RealReturn,Risk
2021-09-30,2.17,2.12,174326,50039.0,151978,0.3293,0.3851,0.4214,0.6886,0.2118,0.486,2.71,35.66,13.73,15.69,334.81,0.3889,4307.5400390625,MSFT,0.91209863,0.8626702730475923
2021-06-30,2.08,2.05,184406,50074.0,141988,0.3527,0.3645,0.4159,0.6893,0.1964,0.4623,2.17,31.34,12.07,13.84,280.14,0.3767,4297.5,MSFT,0.86239976,1.6899852070358439
2021-03-31,2.29,2.26,165614,50007.0,134505,0.3718,0.3502,0.4015,0.6838,0.1844,0.4424,2.03,33.38,12.17,14.23,268.67,0.3528,3972.889892578125,MSFT,0.8042293599999999,1.3505739520663085
2020-12-31,2.58,2.55,173973,55136.0,130236,0.4234,0.3347,0.3924,0.6835,0.1722,0.4219,2.03,31.78,11.13,13.07,233.29,0.3337,3756.070068359375,MSFT,0.7560827899999998,1.2020815280171302
2020-09-30,2.53,2.49,177077,57055.0,123392,0.4624,0.3229,0.3817,0.6827,0.1623,0.4074,1.82,32.72,10.96,12.72,219.58,0.3167,3363.0,MSFT,0.71447507,1.03237590053236
2020-06-30,2.52,2.49,181915,59578.0,118304,0.5036,0.3096,0.3703,0.6778,0.1542,0.3945,1.47,33.46,10.8,12.7,207.1,0.3021,3100.2900390625,MSFT,0.6929904200000001,0.13435028842543992
2020-03-31,2.9,2.88,170505,62862.0,114501,0.549,0.3336,0.3746,0.6817,0.1632,0.4274,1.4,34.76,10.75,12.79,199.89,0.3002,2584.590087890625,MSFT,0.6794683400000001,0.6010407640085664
2019-12-31,2.8,2.77,167074,63361.0,110109,0.5754,0.3302,0.3674,0.6771,0.1595,0.4289,1.51,25.75,8.58,10.24,154.48,0.2917,3230.780029296875,MSFT,0.6467883299999999,1.187939392393402
2019-09-30,2.85,2.81,165896,66478.0,106061,0.6268,0.3166,0.352,0.6656,0.1511,0.4157,1.38,26.84,8.86,10.65,154.05,0.2749,2976.739990234375,MSFT,0.6130034799999999,0.6858935777509503
2019-06-30,2.53,2.5,175552,66662.0,102330,0.6514,0.3118,0.3414,0.659,0.1472,0.4182,1.7,25.49,8.07,9.74,135.35,0.2652,2941.760009765625,MSFT,0.5920011600000001,0.4879036790187187
2019-03-31,2.97,2.93,159887,66585.0,94864,0.7019,0.2858,0.3349,0.6544,0.1345,0.3928,1.14,25.72,8.04,9.74,130.42,0.2583,2834.39990234375,MSFT,0.5713650399999999,0.6717514421272196
2018-12-31,3.12,3.08,156874,69653.0,92128,0.756,0.2831,0.3282,0.651,0.1314,0.3945,1.08,25.42,7.27,9.25,114.4,0.2488,2506.85009765625,MSFT,0.5517588799999997,0.4384062043356577
2018-09-30,2.92,2.85,164195,69733.0,85967,0.8112,0.1638,0.3247,0.6521,0.0739,0.2307,1.14,22.76,6.44,8.18,98.1,0.2426,2913.97998046875,MSFT,0.5213151799999998,1.2940054095713833
2018-06-30,2.9,2.86,169662,72242.0,82718,0.8734,0.1502,0.3177,0.6525,0.0657,0.2009,1.16,45.64,7.43,9.83,109.99,0.2243,2718.3701171875,MSFT,0.47417962999999985,1.4283556979968257
2018-03-31,3.4,3.35,156659,73480.0,79239,0.9273,0.1489,0.3056,0.6499,0.063,0.1883,0.95,44.77,6.65,8.77,94.46,0.2041,2640.8701171875,MSFT,0.4404648299999998,0.5515432893255079
2017-12-31,2.89,2.85,167633,73348.0,78360,0.936,0.1352,0.3011,0.6494,0.0564,0.17,-0.82,48.36,6.4,8.45,87.05,0.1963,2673.610107421875,MSFT,0.4342440700000001,0.18384776310850345
2017-09-30,3.12,3.06,161031,76255.0,89647,0.8506,0.2662,0.3027,0.6502,0.1113,0.3343,0.84,55.63,6.18,7.99,81.21,0.1989,2519.360107421875,MSFT,0.4438352699999999,0.3818376618407351
2017-06-30,2.92,2.88,162696,76073.0,87711,0.8673,0.2639,0.3006,0.6452,0.1117,0.3437,1.03,23.93,5.55,6.06,70.37,0.2043,2423.409912109375,MSFT,0.4867083499999998,2.1354624791833734
2017-03-31,2.81,2.78,146313,76222.0,69729,1.0931,0.2493,0.3112,0.6532,0.1135,0.3458,0.7,23.99,5.26,5.69,64.77,0.2345,2362.719970703125,MSFT,0.5273234,0.19091883092036754
2016-12-31,2.05,2.02,144949,59306.0,68809,0.8619,0.2381,0.3048,0.6469,0.111,0.3154,0.8,27.23,4.98,6.82,61.54,0.2372,2238.830078125,MSFT,0.5177969599999999,0.7353910524340088
2016-09-30,2.69,2.63,157909,60154.0,70372,0.8548,0.2298,0.2913,0.6395,0.111,0.2899,0.72,27.22,4.83,6.48,57.71,0.2268,2168.27001953125,MSFT,0.5105588399999998,0.31819805153394587
2016-06-30,2.35,2.32,139660,40557.0,71997,0.5633,0.2253,0.2861,0.6404,0.1128,0.2729,0.86,25.55,4.58,5.88,53.14,0.2313,2098.860107421875,MSFT,0.39740237,6.816509370638318
2016-03-31,2.9,2.84,128421,40896.0,74806,0.5467,0.1206,0.1732,0.6286,0.0591,0.1356,0.47,22.89,4.13,5.09,46.92,0.1349,2059.739990234375,MSFT,0.30048191,0.7778174593052033
2015-12-31,3.0,2.93,127812,40679.0,76780,0.5298,0.1329,0.1857,0.64,0.0665,0.1444,0.62,39.91,4.68,5.29,50.28,0.1459,2043.93994140625,MSFT,0.33405678000000005,1.2940054095713833
2015-09-30,2.46,2.39,121656,27819.0,77445,0.3592,0.1383,0.1995,0.6477,0.0719,0.1479,0.61,35.83,4.64,5.18,50.16,0.1642,1920.030029296875,MSFT,0.3544302800000001,0.05656854249492511
2015-06-30,2.47,2.42,122797,27808.0,80083,0.3472,0.1303,0.1941,0.647,0.0701,0.1385,-0.38,26.64,3.6,4.09,39.69,0.1634,2063.110107421875,MSFT,0.44133626000000015,5.338656197958434
2015-03-31,2.91,2.85,118398,27644.0,90132,0.3067,0.211,0.2817,0.6497,0.1153,0.221,0.61,26.98,3.49,3.95,39.39,0.2389,2067.889892578125,MSFT,0.5457755300000002,0.6222539674441611
2014-12-31,2.45,2.41,116362,18260.0,91879,0.1987,0.2212,0.2897,0.6574,0.1229,0.2302,0.71,14.95,3.16,3.24,36.03,0.2477,2058.89990234375,MSFT,0.56199563,0.2969848480983512
2014-09-30,2.52,2.45,112439,18472.0,90170,0.2049,0.2335,0.298,0.6699,0.1312,0.2425,0.54,16.48,3.65,3.66,40.88,0.2519,1972.2900390625,MSFT,0.5840290699999999,0.9475230867899711
2014-06-30,2.5,2.45,114246,20645.0,89784,0.2299,0.2542,0.3197,0.6882,0.1414,0.2567,0.55,15.9,3.71,3.71,40.54,0.2653,1960.22998046875,MSFT,0.6116126099999999,0.5939696961967024
2014-03-31,3.22,3.16,109006,20679.0,87424,0.2365,0.2691,0.3281,0.6979,0.1509,0.2693,0.68,13.78,3.51,3.33,36.24,0.2737,1872.3399658203125,MSFT,0.64867728,1.463711037056151
2013-12-31,3.17,3.12,106870,20676.0,85100,0.243,0.2735,0.3355,0.7124,0.1595,0.2832,0.78,13.25,3.57,3.34,35.38,0.2944,1848.3599853515625,MSFT,0.6952756799999997,1.0818733752154186
2013-09-30,2.87,2.8,99450,12632.0,81641,0.1547,0.2817,0.3458,0.7342,0.1654,0.2923,0.62,11.83,3.24,3.13,32.05,0.3097,1681.550048828125,MSFT,0.71819543,0.15556349186104215
2013-06-30,2.71,2.66,101466,12601.0,78944,0.1596,0.2808,0.3438,0.7381,0.1659,0.2944,0.57,10.52,2.97,2.89,28.3,0.3119,1606.280029296875,MSFT,0.6452537900000002,4.087077195258246
2013-03-31,2.93,2.86,93524,11949.0,76688,0.1558,0.2158,0.2747,0.7525,0.1297,0.2307,0.72,11.22,3.17,3.08,29.16,0.2541,1569.18994140625,MSFT,0.5613545000000002,0.6434671708797584
2012-12-31,2.81,2.76,89574,11947.0,72576,0.1646,0.212,0.2694,0.7535,0.1262,0.2237,0.76,12.3,2.67,2.61,23.98,0.245,1426.18994140625,MSFT,0.5618525000000001,0.6717514421272196
2012-09-30,2.68,2.63,84051,9714.0,68836,0.1411,0.2171,0.2746,0.7523,0.1327,0.2344,0.53,12.14,2.58,2.56,22.21,0.2545,1440.6700439453125,MSFT,0.6125343000000001,2.1849599538664317
2012-06-30,2.6,2.57,85084,10713.0,66363,0.1614,0.2303,0.2952,0.7622,0.148,0.2627,-0.06,13.27,2.88,3.0,24.54,0.2854,1362.1600341796875,MSFT,0.76575398,6.243752877877213
2012-03-31,2.94,2.88,76860,11938.0,68659,0.1739,0.3196,0.3799,0.7662,0.2092,0.3746,0.6,12.53,2.89,3.16,25.06,0.3737,1408.469970703125,MSFT,0.9017502799999999,0.7566042558696111
2011-12-31,2.86,2.81,72513,11932.0,64121,0.1861,0.3257,0.3758,0.7638,0.2193,0.4011,0.78,9.55,3.06,3.21,26.25,0.3844,1257.5999755859375,MSFT,0.9562956400000002,2.0293964620053897
2011-09-30,2.95,2.86,75271,11927.0,59391,0.2008,0.3301,0.3831,0.772,0.2301,0.43,0.68,7.6,2.48,2.74,20.99,0.4131,1131.4200439453125,MSFT,1.02935291,1.6263455967290572
2011-06-30,2.6,2.56,74918,11921.0,57083,0.2088,0.331,0.3883,0.7773,0.2361,0.4496,0.69,7.26,2.4,2.83,19.97,0.4361,1320.6400146484375,MSFT,1.10489177,2.0930360723121813
2011-03-31,2.76,2.71,66263,11915.0,53452,0.2229,0.3176,0.3923,0.7808,0.2358,0.4469,0.61,7.71,2.55,3.04,20.73,0.4657,1325.8299560546875,MSFT,1.18403957,1.7253405460951743
2010-12-31,2.46,2.42,59684,9671.0,48481,0.1995,0.3084,0.3956,0.7916,0.2318,0.4392,0.77,8.01,2.54,3.17,20.12,0.4901,1257.6400146484375,MSFT,1.2665911100000002,2.1920310216782983
2010-09-30,2.3,2.26,59581,9665.0,46942,0.2059,0.3132,0.4065,0.807,0.239,0.4499,0.62,9.35,2.88,3.81,21.98,0.5211,1141.199951171875,MSFT,1.2786078,1.6334166645409265
2010-06-30,2.13,2.1,55676,4939.0,46175,0.107,0.3002,0.3857,0.8016,0.2242,0.423,0.51,8.26,2.58,3.5,19.17,0.498,1030.7099609375,MSFT,1.2126958,1.4778531726798818
2022-03-31,0.96,0.71,133876,47556.0,134001,0.3549,0.0448,0.0412,0.4214,0.0544,0.1687,-0.38,60.16,2.68,9.47,124.63,0.1118,4530.41015625,AMZN,0.28001533999999983,2.793071785686862
2021-12-31,1.14,0.91,161580,48744.0,138245,0.3526,0.071,0.053,0.4203,0.0898,0.2798,1.39,78.69,3.5,12.38,163.0,0.1513,4766.18017578125,AMZN,0.36981673999999987,2.722361107568209
2021-09-30,1.12,0.87,138531,50055.0,120564,0.4152,0.0573,0.0618,0.4131,0.0757,0.2431,0.31,51.47,3.65,12.28,166.72,0.1898,4307.5400390625,AMZN,0.45036620000000016,2.0647518010647175
2021-06-30,1.2,0.99,140848,50279.0,114803,0.438,0.0664,0.0668,0.4068,0.0915,0.2986,0.76,64.26,3.68,13.81,164.25,0.219,4297.5,AMZN,0.4993700000000001,0.7778174593052033
2021-03-31,1.05,0.85,121408,31868.0,103320,0.3084,0.0642,0.0663,0.4001,0.0908,0.3047,0.79,59.96,3.97,15.16,172.01,0.23,3972.889892578125,AMZN,0.488054,1.4283556979968282
2020-12-31,1.05,0.86,132733,31816.0,93404,0.3406,0.0553,0.0593,0.3957,0.0788,0.2707,0.71,58.88,3.77,15.09,154.7,0.2098,3756.070068359375,AMZN,0.45260685999999994,0.6434671708797558
2020-09-30,1.11,0.88,112969,32929.0,82775,0.3978,0.0499,0.0572,0.4022,0.0704,0.2449,0.62,77.97,4.3,17.54,162.85,0.2007,3363.0,AMZN,0.42571117999999997,0.940452018978107
2020-06-30,1.18,0.97,110908,33128.0,73728,0.4493,0.041,0.0524,0.4027,0.0583,0.2047,0.52,92.2,4.6,19.1,157.44,0.1874,3100.2900390625,AMZN,0.39080161999999996,1.138441917710341
2020-03-31,1.08,0.84,85985,23437.0,65272,0.3591,0.0356,0.0476,0.4064,0.0505,0.1783,0.25,106.07,4.34,18.75,137.94,0.1713,2584.590087890625,AMZN,0.3892789299999999,1.0465180361560882
2019-12-31,1.1,0.86,96334,23414.0,62060,0.3773,0.0413,0.0518,0.4099,0.0584,0.2107,0.32,93.15,3.32,14.91,97.49,0.1861,3230.780029296875,AMZN,0.4191686499999998,0.7353910524340114
2019-09-30,1.1,0.84,79054,22472.0,56508,0.3977,0.0427,0.0544,0.4111,0.0621,0.2252,0.21,80.31,3.32,14.83,92.39,0.1965,2976.739990234375,AMZN,0.45410644999999983,1.3293607486307062
2019-06-30,1.1,0.84,76790,23329.0,53061,0.4397,0.048,0.0596,0.4127,0.0716,0.2627,0.26,76.88,3.28,15.21,86.8,0.2153,2941.760009765625,AMZN,0.4917807500000002,0.8626702730475897
2019-03-31,1.09,0.83,69431,23322.0,48410,0.4818,0.0497,0.0617,0.4107,0.0776,0.2891,0.36,78.57,3.77,17.63,94.68,0.2275,2834.39990234375,AMZN,0.4748412500000001,1.8384776310850222
2018-12-31,1.1,0.85,75101,23495.0,43549,0.5395,0.0433,0.0533,0.4025,0.0711,0.2702,0.3,74.35,3.69,18.1,89.04,0.2015,2506.85009765625,AMZN,0.42437824999999996,1.1313708498984771
2018-09-30,1.08,0.8,59885,24684.0,39125,0.6309,0.0403,0.0487,0.3987,0.0665,0.2671,0.29,74.61,3.22,16.93,75.1,0.1855,2913.97998046875,AMZN,0.34637235,3.521391770309008
2018-06-30,1.07,0.78,54481,24638.0,34995,0.704,0.0302,0.0355,0.3878,0.0495,0.2112,0.25,112.28,4.51,25.03,100.15,0.1357,2718.3701171875,AMZN,0.25665205,2.0647518010647175
2018-03-31,1.06,0.77,50829,24640.0,31463,0.7831,0.0204,0.026,0.3777,0.0342,0.1472,0.16,134.8,4.05,23.65,84.99,0.1065,2640.8701171875,AMZN,0.21858844999999993,0.3676955262170044
2017-12-31,1.04,0.76,60197,24743.0,27709,0.893,0.0171,0.0231,0.3707,0.0292,0.1247,0.19,182.28,3.7,22.31,72.37,0.1013,2673.610107421875,AMZN,0.2055931099999999,0.4666904755831215
2017-09-30,1.03,0.74,48578,24710.0,24658,1.0021,0.012,0.0201,0.3646,0.021,0.0867,0.03,190.16,3.24,20.43,58.47,0.0947,2519.360107421875,AMZN,0.2285818100000001,1.951614716074871
2017-06-30,1.01,0.73,41007,7683.0,23214,0.331,0.0128,0.0231,0.3598,0.0238,0.0938,0.02,244.0,2.92,18.79,48.07,0.1223,2423.409912109375,AMZN,0.2950219700000001,2.2344574285494905
2017-03-31,1.06,0.77,39460,7691.0,21674,0.3548,0.0181,0.0289,0.3558,0.0344,0.1372,0.07,245.69,3.14,20.02,48.4,0.1539,2362.719970703125,AMZN,0.3457935700000001,0.8768124086713178
2016-12-31,1.05,0.78,45781,7694.0,19285,0.399,0.0174,0.0308,0.3509,0.0338,0.1387,0.08,166.64,3.02,19.55,44.33,0.1663,2238.830078125,AMZN,0.3639878500000002,0.22627416997969793
2016-09-30,1.06,0.74,35609,8205.0,17782,0.4614,0.0164,0.0316,0.3465,0.0321,0.1347,0.03,152.72,2.67,18.55,37.49,0.1695,2168.27001953125,AMZN,0.3706539999999998,0.17677669529663437
2016-06-30,1.09,0.77,32220,8212.0,16538,0.4966,0.016,0.0321,0.344,0.0312,0.1353,0.09,191.6,3.15,22.37,41.87,0.172,2098.860107421875,AMZN,0.339596,2.050609665440988
2016-03-31,1.08,0.74,30513,8219.0,14756,0.557,0.0103,0.0269,0.3376,0.0199,0.0891,0.05,178.01,2.85,20.51,35.78,0.143,2059.739990234375,AMZN,0.2683871,2.354665581351202
2015-12-31,1.05,0.75,35705,8227.0,13384,0.6147,0.0056,0.0209,0.3304,0.0107,0.0492,0.05,244.3,2.5,18.99,29.68,0.1097,2043.93994140625,AMZN,0.20635486999999975,1.5980613254815985
2015-09-30,1.08,0.75,28849,8243.0,12430,0.6632,0.0033,0.0171,0.3242,0.0062,0.0286,0.01,545.07,3.0,23.79,33.79,0.0871,1920.030029296875,AMZN,0.13362787999999992,3.1324830406564055
2015-06-30,1.1,0.79,26391,8250.0,11768,0.7011,-0.002,0.008,0.3127,-0.0038,-0.0172,0.01,741.55,2.39,19.31,25.58,0.0428,2063.110107421875,AMZN,0.06115328000000009,1.7819090885900992
2015-03-31,1.12,0.8,25922,8257.0,10873,0.7594,-0.0044,0.0031,0.3031,-0.0089,-0.0382,-0.01,0.0,2.11,17.26,21.7,0.0176,2067.889892578125,AMZN,0.029709439999999976,0.40305086527633194
2014-12-31,1.12,0.82,31327,8265.0,10741,0.7695,-0.0027,0.002,0.2948,-0.0057,-0.0229,0.02,0.0,1.87,15.95,18.61,0.0119,2058.89990234375,AMZN,0.019185680000000094,0.3323401871576775
2014-09-30,0.89,0.54,18572,3099.0,10336,0.2998,-0.0025,0.0011,0.2858,-0.0056,-0.021,-0.05,0.0,1.62,13.44,15.52,0.0072,1972.2900390625,AMZN,0.05463912000000004,2.8213560569343246
2014-06-30,1.0,0.65,18755,3119.0,10602,0.2942,0.0022,0.0075,0.283,0.0049,0.0182,-0.01,0.0,1.76,14.44,16.12,0.0471,1960.22998046875,AMZN,0.10615643999999991,0.657609306503489
2014-03-31,1.05,0.69,19327,3147.0,10328,0.3047,0.0038,0.0091,0.2776,0.0087,0.0317,0.01,854.68,1.84,14.15,16.24,0.0564,1872.3399658203125,AMZN,0.12157988000000008,0.37476659402887036
2013-12-31,1.07,0.75,24625,3191.0,9746,0.3274,0.0037,0.01,0.2723,0.0084,0.0304,0.03,533.91,1.99,14.98,16.82,0.0617,1848.3599853515625,AMZN,0.11998733000000006,0.4808326112068527
2013-09-30,1.07,0.7,17334,3043.0,9087,0.3349,0.0019,0.0091,0.2655,0.0043,0.0153,-0.01,687.57,2.47,18.78,19.94,0.0549,1681.550048828125,AMZN,0.11492380999999985,0.14142135623730964
2013-06-30,1.11,0.74,16285,3042.0,8733,0.3483,-0.0015,0.0095,0.26,-0.0036,-0.0123,-0.0,1116.57,2.04,15.76,15.63,0.0569,1606.280029296875,AMZN,0.12221641999999999,0.34648232278140845
2013-03-31,1.14,0.76,16313,3040.0,8432,0.3605,-0.0014,0.0104,0.2537,-0.0033,-0.011,0.01,0.0,1.89,14.53,13.88,0.0618,1569.18994140625,AMZN,0.13113554000000005,0.24748737341529137
2012-12-31,1.12,0.8,21296,3084.0,8192,0.3765,-0.0006,0.0111,0.2475,-0.0016,-0.0051,0.01,0.0,1.9,14.38,13.32,0.0653,1426.18994140625,AMZN,0.12463720999999994,0.678822509939085
2012-09-30,1.04,0.64,13118,2676.0,7553,0.3543,0.0007,0.0093,0.2374,0.0017,0.0052,-0.03,0.0,1.87,13.9,12.54,0.0557,1440.6700439453125,AMZN,0.12664304000000004,0.8131727983645293
2012-06-30,1.08,0.68,11793,2553.0,7505,0.3402,0.0069,0.0117,0.233,0.0176,0.0496,0.0,0.0,2.03,15.25,12.72,0.0672,1362.1600341796875,AMZN,0.14980127999999993,0.7212489168102781
2012-03-31,1.16,0.75,12154,2580.0,7271,0.3548,0.0109,0.0142,0.2276,0.0271,0.0733,0.01,281.91,1.93,13.75,11.42,0.0774,1408.469970703125,AMZN,0.17738272,1.0889444430272832
2011-12-31,1.17,0.84,17490,255.0,7757,0.0329,0.0131,0.0179,0.2244,0.0319,0.0824,0.02,167.36,1.81,12.53,10.13,0.0928,1257.5999755859375,AMZN,0.21803488000000004,1.5414927829866734
